ID,businessPartner,firstName,lastName,businessPartnerCategory,businessPartnerGrouping,gender,dateOfBirth,company_CompanyCode
cc3b01ee-3380-49b6-a709-c5e5309b4637,100010,Rohit,Sharma,Employee,BP02,Male,1990-05-15,1000
4400375d-f6a3-406a-8f0b-5bcc95d9683a,100011,Amit,Verma,Employee,BP02,Male,1988-09-20,1000
10d66cee-1aa0-417a-b91a-0b0f69906b4b,100012,Neha,Gupta,Employee,BP02,Female,1992-03-12,1000
bd2beb60-9b01-4ae8-a9ce-84f31de4c60a,100013,Priya,Mehta,Employee,BP02,Female,1995-07-08,1000
732c1f6c-880d-44ac-9296-7ba0b6108a0e,100014,Suresh,Kumar,Employee,BP02,Male,1985-11-25,1000
83d3d63b-e244-4287-b5a4-58dc23677ca9,100015,Kavita,Singh,Employee,BP02,Female,1991-02-18,1200
7f5be83c-efca-4332-8674-1b38a9461b46,100016,Anil,Patel,Employee,BP02,Male,1987-06-30,1200
7e775e89-2559-4222-8756-515a3aec9d42,100017,Pooja,Nair,Employee,BP02,Female,1993-10-05,1200
3ba23c9c-38e6-48e2-b000-596a785a3b67,100018,Rohit,Malhotra,Employee,BP02,Male,1989-12-14,1200
ab788dc6-587a-4a82-92e8-fb830e09a938,100019,Sunita,Joshi,Employee,BP02,Female,1994-04-22,1200
1a2b3c4d-1010-4a11-9b01-a1b2c3d4e001,100020,Rajesh,Iyer,Employee,BP02,Male,1986-01-10,1000
2b3c4d5e-2020-4b22-9c02-b2c3d4e5f002,100021,Anita,Desai,Employee,BP02,Female,1990-08-19,1000
3c4d5e6f-3030-4c33-9d03-c3d4e5f6a003,100022,Vikram,Rao,Employee,BP02,Male,1984-03-27,1000
4d5e6f7a-4040-4d44-9e04-d4e5f6a7b004,100023,Shalini,Kapoor,Employee,BP02,Female,1992-12-03,1000
5e6f7a8b-5050-4e55-9f05-e5f6a7b8c005,100024,Manoj,Aggarwal,Employee,BP02,Male,1987-05-14,1000
6f7a8b9c-6060-4f66-8a06-f6a7b8c9d006,100025,Deepa,Chatterjee,Employee,BP02,Female,1991-09-21,1000
7a8b9c0d-7070-4067-8b07-a7b8c9d0e007,100026,Kunal,Bansal,Employee,BP02,Male,1989-11-09,1000
8b9c0d1e-8080-4168-8c08-b8c9d0e1f008,100027,Ritu,Saxena,Employee,BP02,Female,1993-02-26,1000
9c0d1e2f-9090-4269-8d09-c9d0e1f2a009,100028,Sanjay,Mishra,Employee,BP02,Male,1985-06-18,1000
0d1e2f3a-a010-4370-8e10-d0e1f2a3b010,100029,Nisha,Pandey,Employee,BP02,Female,1994-07-30,1000
aa1b2c3d-b111-4471-8f11-e1f2a3b4c011,100030,Arjun,Khanna,Employee,BP02,Male,1988-10-12,1200
bb2c3d4e-c212-4572-9012-f2a3b4c5d012,100031,Meenal,Bhatt,Employee,BP02,Female,1992-01-05,1200
cc3d4e5f-d313-4673-9113-a3b4c5d6e013,100032,Naveen,Reddy,Employee,BP02,Male,1986-04-23,1200
dd4e5f6a-e414-4774-9214-b4c5d6e7f014,100033,Aarti,Gokhale,Employee,BP02,Female,1990-09-16,1200
ee5f6a7b-f515-4875-9315-c5d6e7f8a015,100034,Prakash,Menon,Employee,BP02,Male,1983-12-08,1200
ff6a7b8c-a616-4976-9416-d6e7f8a9b016,100035,Smita,Kulkarni,Employee,BP02,Female,1991-06-11,1200
0a7b8c9d-b717-4077-9517-e7f8a9b0c017,100036,Rahul,Sethi,Employee,BP02,Male,1989-08-29,1200
1b8c9d0e-c818-4178-9618-f8a9b0c1d018,100037,Pallavi,Joshi,Employee,BP02,Female,1993-03-07,1200
2c9d0e1f-d919-4279-9719-a9b0c1d2e019,100038,Alok,Tripathi,Employee,BP02,Male,1984-05-20,1200
3d0e1f2a-e020-4380-9820-b0c1d2e3f020,100039,Isha,Arora,Employee,BP02,Female,1995-11-02,1200
